Business Unit ,Country of participant,Course Title,Start Date,End Date,Duration Hours,Training offered,Category,Delivery Method,Product Type,Training Supplier ID,Learning Activity ID
DI SW DM FND FN ITA DS,IT,"SAFe vs. Flight levels vs. LeSS - what's the difference?
",17/3/22,17/3/22,0.645,Internal,Business Learning,Virtual Instructor-led training (VILT),WBN - Webinar,DIGIHUB10 - DigiHub,81278431
DI SW DM FND FN ITA DS,IT,Backend Development Guidelines,7/4/22,7/4/22,1,Internal,Technical and Technology Training,Virtual Instructor-led training (VILT),VIR - Virtual classroom,EXCEL$ - Bulk Excel Import,81966625
DI SW DM FND FN ITA DS,IT,Agile at Work: Driving Productive Agile Meetings,7/4/22,10/4/22,0.188,External,Business Learning,Self-paced learning,ELE - eLearning,LXP105 - My Learning World - LinkedIn Learning,81697485
DI SW DM FND FN ITA DS,IT,Agile at Work: Getting Better with Agile Retrospectives,7/4/22,10/4/22,0.383,External,Business Learning,Self-paced learning,ELE - eLearning,LXP105 - My Learning World - LinkedIn Learning,81697486
DI SW DM FND,IT,DM Learning Day - How the market is influenced by business analysts,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80702900
DI SW DM FND,IT,"Export Control Training for Classification Associates EMEA Session 1 ""Basic Principles""",8/2/22,8/2/22,2,Internal,Business Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,OUTLOOK10 - My Community Learning (Community-Based Learning),80398577
DI SW DM FND,IT,"Export Control Training for Classification Associates EMEA Session 2 ""Apply the regulations""",15/2/22,15/2/22,2,Internal,Business Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,OUTLOOK10 - My Community Learning (Community-Based Learning),80475577
DI SW DM FND,IT,Export Control Training for Classification Associates EMEA Session 3 “Challenging Software” ,22/2/22,22/2/22,2,Internal,Business Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,OUTLOOK10 - My Community Learning (Community-Based Learning),80589908
DI SW DM FND,IT,Siemens Export Control Essentials,30/3/22,30/3/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81306892
DI SW DM FND,IT,Excel 2013: Configuring Excel,7/4/22,7/4/22,0.47,External,Business Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,82220863
DI SW DM VA AN R&D,IT,Product and Solution Security (PSS06): Secure Coding,21/10/21,21/10/21,0.2,Internal,Business Learning,Self-paced learning,WBT - Web-based training,SABA10 - SABA Global Learning Campus,78927039
DI SW DM VA AN R&D,IT,Product and Solution Security (PSS04): Secure Architecture and Design,21/10/21,21/10/21,0.1,Internal,Business Learning,Self-paced learning,WBT - Web-based training,SABA10 - SABA Global Learning Campus,78930308
DI SW DM VA AN R&D,IT,Product and Solution Security Initiative,21/10/21,21/10/21,0.05,External,Business Learning,Self-paced learning,ELE - eLearning,LXP100 - My Learning World,78944629
DI SW DM VA AN R&D,IT,Design Microservice Architectures the Right Way,21/10/21,21/10/21,1,External,Technical and Technology Training,Self-paced learning,ELE - eLearning,LXP100 - My Learning World,78944630
DI SW DM VA AN R&D,IT,Product and Solution Security (PSS09): Security Incident and Vulnerability Management,21/10/21,21/10/21,0.22,Internal,Business Learning,Self-paced learning,WBT - Web-based training,SABA10 - SABA Global Learning Campus,78961182
DI SW DM VA AN R&D,IT,"DM Learning Day - Introduction to MOM: market, portfolio, strategy and organization",21/10/21,21/10/21,0.75,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80579082
DI SW DM VA AN R&D,IT,DM Learning Day - How Startups and Corporates can benefit each other?,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80582620
DI SW DM VA AN R&D,IT,DM Learning Day - Smart Manufacturing for Automotive,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80583894
DI SW DM VA AN R&D,IT,Collaborative Champions,20/1/22,27/1/22,6,Internal,Business Learning,Blended learning,BLL - Blended learning (less than 50% Instructor-led training),OIT100 - OneLMS Italy,80394334
DI SW DM VA AN R&D,IT,Siemens Export Control Essentials,17/2/22,17/2/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80619767
DI SW DM VA AN R&D,IT,PSS@MOM General Awareness Training for R&D Team Members - 2022,21/4/22,21/4/22,1,Internal,Business Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,CBL100 - My Community Learning/Host,82014112
DI SW DM VA AN R&D,IT,Tableau Essential Training,26/4/22,28/4/22,1.795,External,Business Learning,Self-paced learning,ELE - eLearning,LXP105 - My Learning World - LinkedIn Learning,82004725
DI SW DM R&D-MOM DIN QT,IT,Linux: Bash Shell and Scripts,7/9/21,2/10/21,1.026,External,Business Learning,Self-paced learning,ELE - eLearning,LXP105 - My Learning World - LinkedIn Learning,78118057
DI SW DM R&D-MOM DIN QT,IT,DM Learning Day -  Guest Speaker AWS:  Make your development easier with Kubernetes on AWS,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80583317
DI SW DM R&D-MOM DIN QT,IT,DM Learning Day - Getting more out of Excel,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80585780
DI SW DM R&D-MOM DIN QT,IT,Siemens Export Control Essentials,16/2/22,16/2/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80626152
DI SW DM R&D-MOM DIN QT,IT,Siemens Driver's License: Introduction,6/4/22,6/4/22,0.417,Internal,Technical and Technology Training,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81786015
DI SW DM R&D-MOM DIN QT,IT,Siemens Driver's License: Asset Management for Admin,6/4/22,6/4/22,0.417,Internal,Technical and Technology Training,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81790274
DI SW DM R&D-MOM DIN QT,IT,Siemens Driver's License: Access Control,7/4/22,8/4/22,0.417,Internal,Technical and Technology Training,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81794992
DI SW DM R&D-MOM DIN QT,IT,Siemens Driver's License: Cryptography,8/4/22,8/4/22,0.417,Internal,Technical and Technology Training,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81797739
DI SW DM R&D-MOM DIN QT,IT,Siemens Driver's License: Operations security for Admin,8/4/22,11/4/22,0.75,Internal,Technical and Technology Training,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81849778
DI SW DM R&D-MOM DIN QT,IT,Siemens Driver's License: Network security for applications,11/4/22,11/4/22,0.417,Internal,Technical and Technology Training,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81854800
DI SW DM R&D-MOM DIN QT,IT,Slide Design,5/4/22,12/4/22,6,Internal,Business Learning,Blended learning,BLL - Blended learning (less than 50% Instructor-led training),OIT100 - OneLMS Italy,81802346
DI SW DM R&D-MOM DIN QT,IT,Siemens Driver's License: Test for Admin,12/4/22,12/4/22,1,Internal,Technical and Technology Training,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81846807
DI SW DM R&D-MOM DIN QT,IT,Siemens Driver's License: Resilience and Disaster Recovery,11/4/22,12/4/22,0.267,Internal,Technical and Technology Training,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81855083
DI SW DM R&D-MOM DIN QT,IT,Siemens Driver's License: Summary,11/4/22,12/4/22,0.083,Internal,Technical and Technology Training,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81855114
DI SW DM R&D-MOM CYS,IT,Web Security: OAuth and OpenID Connect,21/10/21,23/10/21,1.707,External,Business Learning,Self-paced learning,ELE - eLearning,LXP105 - My Learning World - LinkedIn Learning,78949827
